date,ACB,BID,BVH,FPT,VIC
2022-12-12,0,100,100,0,100
2022-12-13,0,100,100,0,100
2022-12-14,0,100,100,0,100
2022-12-15,0,100,100,0,100
2022-12-16,0,100,100,0,100
2022-12-19,0,100,100,0,100
2022-12-20,0,100,100,0,100
2022-12-21,0,100,100,0,100
2022-12-22,0,100,100,0,100
2022-12-23,0,100,100,0,100
2022-12-26,0,100,100,0,100
2022-12-27,0,100,100,0,100
2022-12-28,0,100,100,0,100
2022-12-29,0,100,100,0,100
2022-12-30,0,100,100,0,100
2023-01-03,0,100,100,0,100
2023-01-04,0,100,100,0,100
2023-01-05,0,100,100,0,100
2023-01-06,0,100,100,0,100
2023-01-09,0,100,100,0,100
2023-01-10,0,100,100,0,100
2023-01-11,0,100,100,0,100
2023-01-12,0,100,100,0,100
2023-01-13,0,100,100,0,100
2023-01-16,0,100,100,0,100
2023-01-17,0,100,100,0,100
2023-01-18,0,100,100,0,100
2023-01-19,0,100,100,0,100
2023-01-27,0,100,100,0,100
2023-01-30,0,100,100,0,100
2023-01-31,0,100,100,0,100
2023-02-01,0,100,100,0,100
2023-02-02,0,100,100,0,100
2023-02-03,0,100,100,0,100
2023-02-06,0,100,100,0,100
2023-02-07,0,100,100,0,100
2023-02-08,0,100,100,0,100
2023-02-09,0,100,100,0,100
2023-02-10,0,100,100,0,100
2023-02-13,0,100,100,0,100
2023-02-14,0,100,100,0,100
2023-02-15,0,100,100,0,100
2023-02-16,0,100,100,0,100
2023-02-17,0,100,100,0,100
2023-02-20,0,100,100,0,100
2023-02-21,0,100,100,0,100
2023-02-22,0,100,100,0,100
2023-02-23,0,100,100,0,100
2023-02-24,0,100,100,0,100
2023-02-27,0,100,100,0,100
2023-02-28,0,100,100,0,100
2023-03-01,0,100,100,0,100
2023-03-02,0,100,100,0,100
2023-03-03,0,100,100,0,100
2023-03-06,0,100,100,0,100
2023-03-07,0,100,100,0,100
2023-03-08,0,100,100,0,100
2023-03-09,0,100,100,0,100
2023-03-10,0,100,100,0,100
2023-03-13,0,100,100,0,100
2023-03-14,0,100,100,0,100
2023-03-15,0,100,100,0,100
2023-03-16,0,100,100,0,100
