date,ACB,BID,BVH,FPT,VIC
2022-09-13,100,0,0,0,0
2022-09-14,100,0,0,0,0
2022-09-15,100,0,0,0,0
2022-09-16,100,0,0,0,0
2022-09-19,100,0,0,0,0
2022-09-20,100,0,0,0,0
2022-09-21,100,0,0,0,0
2022-09-22,100,0,0,0,0
2022-09-23,100,0,0,0,0
2022-09-26,100,0,0,0,0
2022-09-27,100,0,0,0,0
2022-09-28,100,0,0,0,0
2022-09-29,100,0,0,0,0
2022-09-30,100,0,0,0,0
2022-10-03,100,0,0,0,0
2022-10-04,100,0,0,0,0
2022-10-05,100,0,0,0,0
2022-10-06,100,0,0,0,0
2022-10-07,100,0,0,0,0
2022-10-10,100,0,0,0,0
2022-10-11,100,0,0,0,0
2022-10-12,100,0,0,0,0
2022-10-13,100,0,0,0,0
2022-10-14,100,0,0,0,0
2022-10-17,100,0,0,0,0
2022-10-18,100,0,0,0,0
2022-10-19,100,0,0,0,0
2022-10-20,100,0,0,0,0
2022-10-21,100,0,0,0,0
2022-10-24,100,0,0,0,0
2022-10-25,100,0,0,0,0
2022-10-26,100,0,0,0,0
2022-10-27,100,0,0,0,0
2022-10-28,100,0,0,0,0
2022-10-31,100,0,0,0,0
2022-11-01,100,0,0,0,0
2022-11-02,100,0,0,0,0
2022-11-03,100,0,0,0,0
2022-11-04,100,0,0,0,0
2022-11-07,100,0,0,0,0
2022-11-08,100,0,0,0,0
2022-11-09,100,0,0,0,0
2022-11-10,100,0,0,0,0
2022-11-11,100,0,0,0,0
2022-11-14,100,0,0,0,0
2022-11-15,100,0,0,0,0
2022-11-16,100,0,0,0,0
2022-11-17,100,0,0,0,0
2022-11-18,100,0,0,0,0
2022-11-21,100,0,0,0,0
2022-11-22,100,0,0,0,0
2022-11-23,100,0,0,0,0
2022-11-24,100,0,0,0,0
2022-11-25,100,0,0,0,0
2022-11-28,100,0,0,0,0
2022-11-29,100,0,0,0,0
2022-11-30,100,0,0,0,0
2022-12-01,100,0,0,0,0
2022-12-02,100,0,0,0,0
2022-12-05,100,0,0,0,0
2022-12-06,100,0,0,0,0
2022-12-07,100,0,0,0,0
2022-12-08,100,0,0,0,0
